"","sku","stock_actual","prevision_total","stock_meses","PC_medio","Altura","Largura","Comprimento","valor_stock_usd","stock_meses_1"
"1216","19122",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1217","19124",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1218","19130",46,"   22,2",2,"   0,000","0","0","0","    0,00",2
"1219","19134",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1220","19142",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1221","19144",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1222","19284",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1223","19289",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1224","19290",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1225","19321",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1226","19326",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1227","19327",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1228","19329",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1229","19332",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1230","19335",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1231","19352",0,"    0,0",0,"   0,353","0","0","0","    0,00",12
"1232","19354",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1233","19358",1,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1234","19360",0,"    0,0",0,"  20,000","0","0","0","    0,00",12
"1235","19362",0,"    0,0",0,"   0,298","0","0","0","    0,00",12
"1236","19371",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1237","19373",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1238","19374",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1239","19378",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1240","19380",4,"   41,8",0,"   1,458","0","0","0","    5,83",0
"1241","19382",8,"   45,0",0,"   3,600","0","0","0","   28,80",0
"1242","19391",0,"    0,0",0,"   9,805","0","0","0","    0,00",12
"1243","19396",0,"    0,0",0,"   3,500","0","0","0","    0,00",12
"1244","19155",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1245","19159",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1246","19161",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1247","19168",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1248","19181",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1249","19195",0,"  199,2",0,"   0,383","0","0","0","    0,00",0
"1250","19196",0,"  170,7",0,"   0,000","0","0","0","    0,00",0
"1251","19197",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1252","19200",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1253","19203",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1254","19206",69,"   32,9",2,"   1,639","0","0","0","  113,10",2
"1255","19208",10,"   35,2",0,"  15,000","0","0","0","  150,00",0
"1256","19209",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1257","19211",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1258","19231",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1259","19241",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1260","19295",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1261","19298",0,"    0,0",0,"   8,750","0","0","0","    0,00",12
"1262","19306",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1263","19311",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1264","19315",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1265","18543",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1266","18547",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1267","18552",0,"    0,0",0,"   3,530","1","1","0,012","    0,00",12
"1268","18560",0,"    0,0",0,"   7,580","1","1","0,024","    0,00",12
"1269","18561",55,"   29,1",1,"  10,740","1","1","0,024","  590,70",1
"1270","18566",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1271","18576",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1272","18580",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1273","18581",0,"    0,0",0,"   0,000","0","0","0","    0,00",12
"1274","18610",1,"  136,9",0,"   0,767","0,003","0,1","1","    0,77",0
"1275","18612",109,"   64,5",1,"   0,650","0,003","0,1","1","   70,85",1
"1276","18613",0,"    0,0",0,"   1,910","0,003","0,1","1","    0,00",12
