sku;Produto;Descricao Curta;Tipo Produto;pvp;PC_medio;Descontinuado;Fornecedor;Localizacao Criacao;Peso Bruto;Altura;Largura;Comprimento
13400;Caramelo coberto c/ chocolate leite 52gr allegro;Caramelo coberto c/ choco;Normal;1;0,52;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;16,481;0,002;1;1
13407;Amendoas e avelas cobertas c/ chocolate e capa de acucar 200gr jubileu;Amendoas e avelas coberta;Normal;11,3;5,42;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;5,638;0;1;1
13411;Amendoas cobertas c/ chocolate leite 320gr jubileu;Amendoas cobertas c/ choc;Normal;12,2;5,92;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;8,91;0,006;1;1
13413;Chocolate culinaria pantagruel branco 200gr;Chocolate branco p/ culin;Normal;3,95;1,94;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;7;0,003;1;1
13414;Chocolate culinaria pantagruel 70% cacau 200gr;Chocolate p/ culinaria 70;Normal;4,7;2,31;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;26,577;0,003;1;1
13418;Carre chocolate leite 100gr jubileu;Carre chocolate leite 100;Normal;2,65;1,3;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;22,704;0,005;1;1
13419;Carre chocolate leite c/amendoas 100gr jubileu;Carre chocolate leite c/a;Normal;2,65;1,3;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;22,704;0,005;1;1
13420;Carre chocolate leite recheado c/ creme de praline 100gr jubileu;Carre chocolate leite rec;Normal;2,65;1,3;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;22,704;0,005;1;1
13421;Carre chocolate preto 70% cacau 100gr jubileu;Carre chocolate preto 70%;Normal;2,95;1,46;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;22,704;0,005;1;1
13422;Bombons coracao c/chocolate leite e amendoas 90gr regina;Bombons coracao c/chocola;Normal;8;3,84;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;2,116;0,018;1;1
13423;Bombons c/recheio cremoso chocolate leite 200gr d'or jubileu;Bombons c/recheio cremoso;Normal;8,8;4,35;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;3,18;0,014;1;1
13427;Sombrinhas chocolate leite 15gr regina;Sombrinhas chocolate leit;Normal;0,95;0,470003;FALSO;IMPERIAL- PROD. ALIMENTARES, SA;LOJA;6,34;0,004;1;1
13458;Chocolate lion 42gr;Chocolate lion 42gr;Normal;1;0,63;FALSO;RECHEIO S.A.;LOJA;0;0;0;0
13465;Kit kat chunky 40gr;Kit kat chunky 40gr;Normal;0,8;0,47;FALSO;RECHEIO S.A.;LOJA;0;0,003;1;1
13469;Crunch leite 100gr;Crunch leite 100gr;Normal;3,2;1,310375;FALSO;RECHEIO S.A.;LOJA;0;0,004;1;1
13634;Aroma Timor  virgem coconut oil  310ml;Oleo virgem coco 330ml;Normal;5,1;3,5;FALSO;PTC PEOPLE TRADE COMPANY;LOJA;0;0;0;0
13636;Whisky 650ml 40% alc vol silver label;Whisky 650ml 40% alc vol;Normal;12,5;9,357143;FALSO;TIMOR BEVERAGE, LDA;LOJA;0;0;0;0
13638;Vodka 650ml 40% alc vol silver label;Vodka 650ml 40% alc vo;Normal;14,5;8,5;FALSO;TIMOR BEVERAGE, LDA;LOJA;0;0;0;0
13643;Lencos kleenex silk 170;Lencos kleenex silk 170;Normal;3,15;2,12973;FALSO;PACTRADE TIMOR LTD;LOJA;0;0;0;0
13648;Malagueta kg;Malagueta kg;Normal;5,9;3,833;FALSO;TIMORGANIC;LOJA;0;0;0;0
13656;Cafe cooperativa timor premium grade po 250gr;Cafe coop timor premium;Normal;5,75;4;FALSO;CCT-NCBA;CAFETARIA;0;0;0;0
13657;Cha tradicional timor dareta & ortelao 20g;Cha tradicional timor;Normal;1,45;1,25;FALSO;PTC PEOPLE TRADE COMPANY;CAFETARIA;3,44;0,295;0,28;0,435
13662;Porta da ravessa t 1500ml;Porta da ravessa t 1500ml;Normal;17,6;5,11;FALSO;ADEGA COOPERATIVA REDONDO C.R.L.;LOJA;0;0,011;1;1
13680;Bani been mel 380g;Bani been mel 330ml;Normal;5,8;4;FALSO;PTC PEOPLE TRADE COMPANY;LOJA;0;0;0;0
13681;Cha tradicional Timor Abacate e Lima 30gr;Cha tradicional timor apo;Normal;1,45;1,25;FALSO;PTC PEOPLE TRADE COMPANY;LOJA;0;0;0;0
13688;Galinha manu inan cong 900gr;Galinha manu inan cong 90;Normal;3,9;2,166667;FALSO;HAPPY MUMMY COMPANHIA UNIPESSOAL LDA;CAFETARIA;0;0;0;0
13698;Hamburguer cogumelos 100%;Hamburguer cogumelos 100%;Normal;4,95;2,424174;FALSO;IGNORAMUS PRODUTOS NATURAIS LDA;LOJA;2,4;0,21;0,175;0,215
